i1,i2,i3,i4,i5,i6,o1,o2,o3,o4,o5,o6
0.166666667,0.583333333,0.645833333,0.666666667,0.875,1,0,0.166666667,0.1875,0.458333333,0.604166667,0.979166667
0,0.166666667,0.1875,0.458333333,0.604166667,0.979166667,0.145833333,0.166666667,0.1875,0.479166667,0.645833333,0.666666667
0.145833333,0.166666667,0.1875,0.479166667,0.645833333,0.666666667,0,0.166666667,0.333333333,0.458333333,0.875,0.958333333
0,0.166666667,0.333333333,0.458333333,0.875,0.958333333,0.083333333,0.166666667,0.208333333,0.625,0.708333333,0.75
0.083333333,0.166666667,0.208333333,0.625,0.708333333,0.75,0.020833333,0.083333333,0.104166667,0.645833333,0.895833333,1
0.020833333,0.083333333,0.104166667,0.645833333,0.895833333,1,0.270833333,0.291666667,0.520833333,0.645833333,0.916666667,0.9375
0.270833333,0.291666667,0.520833333,0.645833333,0.916666667,0.9375,0.104166667,0.354166667,0.520833333,0.666666667,0.6875,0.833333333
0.104166667,0.354166667,0.520833333,0.666666667,0.6875,0.833333333,0.125,0.270833333,0.291666667,0.520833333,0.75,0.979166667
0.125,0.270833333,0.291666667,0.520833333,0.75,0.979166667,0.020833333,0.1875,0.25,0.520833333,0.666666667,0.958333333
0.020833333,0.1875,0.25,0.520833333,0.666666667,0.958333333,0.0625,0.166666667,0.229166667,0.270833333,0.770833333,0.875
0.0625,0.166666667,0.229166667,0.270833333,0.770833333,0.875,0.541666667,0.583333333,0.708333333,0.791666667,0.854166667,0.916666667
0.541666667,0.583333333,0.708333333,0.791666667,0.854166667,0.916666667,0.229166667,0.791666667,0.8125,0.833333333,0.854166667,0.916666667
0.229166667,0.791666667,0.8125,0.833333333,0.854166667,0.916666667,0.333333333,0.5,0.583333333,0.625,0.666666667,0.9375
0.333333333,0.5,0.583333333,0.625,0.666666667,0.9375,0.479166667,0.520833333,0.541666667,0.770833333,0.8125,0.979166667
0.479166667,0.520833333,0.541666667,0.770833333,0.8125,0.979166667,0.104166667,0.145833333,0.333333333,0.645833333,0.729166667,0.9375
0.104166667,0.145833333,0.333333333,0.645833333,0.729166667,0.9375,0.333333333,0.541666667,0.604166667,0.770833333,0.8125,0.895833333
0.333333333,0.541666667,0.604166667,0.770833333,0.8125,0.895833333,0.104166667,0.125,0.229166667,0.333333333,0.395833333,0.958333333
0.104166667,0.125,0.229166667,0.333333333,0.395833333,0.958333333,0.0625,0.1875,0.3125,0.354166667,0.375,0.708333333
0.0625,0.1875,0.3125,0.354166667,0.375,0.708333333,0.145833333,0.229166667,0.25,0.416666667,0.5,0.958333333
0.145833333,0.229166667,0.25,0.416666667,0.5,0.958333333,0.375,0.541666667,0.583333333,0.645833333,0.729166667,0.979166667
0.375,0.541666667,0.583333333,0.645833333,0.729166667,0.979166667,0.125,0.229166667,0.333333333,0.395833333,0.5625,0.770833333
0.125,0.229166667,0.333333333,0.395833333,0.5625,0.770833333,0.041666667,0.166666667,0.229166667,0.291666667,0.791666667,0.895833333
0.041666667,0.166666667,0.229166667,0.291666667,0.791666667,0.895833333,0.020833333,0.354166667,0.395833333,0.458333333,0.520833333,0.895833333
0.020833333,0.354166667,0.395833333,0.458333333,0.520833333,0.895833333,0.0625,0.5625,0.625,0.791666667,0.833333333,0.854166667
0.0625,0.5625,0.625,0.791666667,0.833333333,0.854166667,0.020833333,0.104166667,0.125,0.270833333,0.791666667,0.9375
0.020833333,0.104166667,0.125,0.270833333,0.791666667,0.9375,0.104166667,0.229166667,0.479166667,0.645833333,0.666666667,0.895833333
0.104166667,0.229166667,0.479166667,0.645833333,0.666666667,0.895833333,0.041666667,0.125,0.5625,0.645833333,0.9375,0.958333333
0.041666667,0.125,0.5625,0.645833333,0.9375,0.958333333,0.1875,0.3125,0.5,0.541666667,0.583333333,1
0.1875,0.3125,0.5,0.541666667,0.583333333,1,0.083333333,0.375,0.479166667,0.520833333,0.583333333,0.8125
0.083333333,0.375,0.479166667,0.520833333,0.583333333,0.8125,0.104166667,0.166666667,0.25,0.333333333,0.354166667,0.604166667
0.104166667,0.166666667,0.25,0.333333333,0.354166667,0.604166667,0.104166667,0.270833333,0.333333333,0.416666667,0.4375,0.9375
0.104166667,0.270833333,0.333333333,0.416666667,0.4375,0.9375,0.125,0.291666667,0.3125,0.416666667,0.4375,0.520833333
0.125,0.291666667,0.3125,0.416666667,0.4375,0.520833333,0.375,0.395833333,0.520833333,0.5625,0.625,0.9375
0.375,0.395833333,0.520833333,0.5625,0.625,0.9375,0.166666667,0.208333333,0.270833333,0.625,0.8125,0.916666667
0.166666667,0.208333333,0.270833333,0.625,0.8125,0.916666667,0,0.104166667,0.270833333,0.541666667,0.791666667,1
0,0.104166667,0.270833333,0.541666667,0.791666667,1,0.25,0.416666667,0.520833333,0.541666667,0.666666667,0.958333333
0.25,0.416666667,0.520833333,0.541666667,0.666666667,0.958333333,0.145833333,0.229166667,0.291666667,0.333333333,0.541666667,0.625
0.145833333,0.229166667,0.291666667,0.333333333,0.541666667,0.625,0.4375,0.458333333,0.479166667,0.5,0.8125,0.958333333
0.4375,0.458333333,0.479166667,0.5,0.8125,0.958333333,0.020833333,0.125,0.354166667,0.4375,0.729166667,0.75
0.020833333,0.125,0.354166667,0.4375,0.729166667,0.75,0.041666667,0.083333333,0.104166667,0.291666667,0.833333333,1
0.041666667,0.083333333,0.104166667,0.291666667,0.833333333,1,0.083333333,0.208333333,0.270833333,0.458333333,0.520833333,0.895833333
0.083333333,0.208333333,0.270833333,0.458333333,0.520833333,0.895833333,0.104166667,0.375,0.625,0.729166667,0.8125,0.916666667
0.104166667,0.375,0.625,0.729166667,0.8125,0.916666667,0,0.041666667,0.25,0.291666667,0.520833333,0.916666667
0,0.041666667,0.25,0.291666667,0.520833333,0.916666667,0.104166667,0.166666667,0.3125,0.333333333,0.6875,0.979166667
0.104166667,0.166666667,0.3125,0.333333333,0.6875,0.979166667,0.041666667,0.083333333,0.6875,0.854166667,0.958333333,0.979166667
0.041666667,0.083333333,0.6875,0.854166667,0.958333333,0.979166667,0.0625,0.125,0.333333333,0.395833333,0.833333333,0.9375
0.0625,0.125,0.333333333,0.395833333,0.833333333,0.9375,0.0625,0.104166667,0.145833333,0.270833333,0.541666667,0.770833333
0.0625,0.104166667,0.145833333,0.270833333,0.541666667,0.770833333,0,0.0625,0.270833333,0.375,0.6875,0.75
0,0.0625,0.270833333,0.375,0.6875,0.75,0.083333333,0.104166667,0.541666667,0.770833333,0.791666667,0.833333333
0.083333333,0.104166667,0.541666667,0.770833333,0.791666667,0.833333333,0.416666667,0.479166667,0.520833333,0.541666667,0.791666667,0.875
0.416666667,0.479166667,0.520833333,0.541666667,0.791666667,0.875,0.145833333,0.1875,0.208333333,0.375,0.416666667,0.854166667
0.145833333,0.1875,0.208333333,0.375,0.416666667,0.854166667,0.166666667,0.291666667,0.333333333,0.479166667,0.666666667,0.9375
0.166666667,0.291666667,0.333333333,0.479166667,0.666666667,0.9375,0,0.270833333,0.375,0.645833333,0.8125,0.9375
0,0.270833333,0.375,0.645833333,0.8125,0.9375,0,0.104166667,0.25,0.3125,0.479166667,0.8125
0,0.104166667,0.25,0.3125,0.479166667,0.8125,0.354166667,0.645833333,0.6875,0.854166667,0.875,0.895833333
0.354166667,0.645833333,0.6875,0.854166667,0.875,0.895833333,0.020833333,0.333333333,0.395833333,0.583333333,0.604166667,0.708333333
0.020833333,0.333333333,0.395833333,0.583333333,0.604166667,0.708333333,0.125,0.270833333,0.5,0.645833333,0.895833333,0.958333333
0.125,0.270833333,0.5,0.645833333,0.895833333,0.958333333,0.0625,0.104166667,0.291666667,0.416666667,0.854166667,0.916666667
0.0625,0.104166667,0.291666667,0.416666667,0.854166667,0.916666667,0.104166667,0.145833333,0.1875,0.270833333,0.4375,0.729166667
0.104166667,0.145833333,0.1875,0.270833333,0.4375,0.729166667,0.104166667,0.229166667,0.479166667,0.541666667,0.854166667,0.875
0.104166667,0.229166667,0.479166667,0.541666667,0.854166667,0.875,0.125,0.416666667,0.729166667,0.791666667,0.916666667,0.9375
0.125,0.416666667,0.729166667,0.791666667,0.916666667,0.9375,0.125,0.166666667,0.291666667,0.354166667,0.895833333,0.9375
0.125,0.166666667,0.291666667,0.354166667,0.895833333,0.9375,0.0625,0.1875,0.354166667,0.416666667,0.604166667,0.729166667
0.0625,0.1875,0.354166667,0.416666667,0.604166667,0.729166667,0,0.229166667,0.25,0.6875,0.729166667,0.770833333
0,0.229166667,0.25,0.6875,0.729166667,0.770833333,0.0625,0.104166667,0.208333333,0.3125,0.416666667,0.458333333
0.0625,0.104166667,0.208333333,0.3125,0.416666667,0.458333333,0.229166667,0.25,0.5,0.604166667,0.666666667,0.6875
0.229166667,0.25,0.5,0.604166667,0.666666667,0.6875,0.0625,0.208333333,0.354166667,0.645833333,0.729166667,0.770833333
0.0625,0.208333333,0.354166667,0.645833333,0.729166667,0.770833333,0.166666667,0.208333333,0.458333333,0.604166667,0.791666667,0.916666667
0.166666667,0.208333333,0.458333333,0.604166667,0.791666667,0.916666667,0.0625,0.3125,0.375,0.520833333,0.604166667,0.6875
0.0625,0.3125,0.375,0.520833333,0.604166667,0.6875,0,0.270833333,0.3125,0.75,0.895833333,0.9375
0,0.270833333,0.3125,0.75,0.895833333,0.9375,0.0625,0.375,0.416666667,0.5625,0.583333333,0.729166667
0.0625,0.375,0.416666667,0.5625,0.583333333,0.729166667,0.083333333,0.229166667,0.333333333,0.375,0.6875,0.9375
0.083333333,0.229166667,0.333333333,0.375,0.6875,0.9375,0.125,0.1875,0.3125,0.854166667,0.875,0.979166667
0.125,0.1875,0.3125,0.854166667,0.875,0.979166667,0.229166667,0.333333333,0.395833333,0.479166667,0.6875,0.895833333
0.229166667,0.333333333,0.395833333,0.479166667,0.6875,0.895833333,0,0.041666667,0.520833333,0.604166667,0.791666667,0.895833333
0,0.041666667,0.520833333,0.604166667,0.791666667,0.895833333,0.229166667,0.25,0.520833333,0.541666667,0.9375,1
0.229166667,0.25,0.520833333,0.541666667,0.9375,1,0.020833333,0.208333333,0.4375,0.645833333,0.791666667,0.8125
0.020833333,0.208333333,0.4375,0.645833333,0.791666667,0.8125,0.1875,0.229166667,0.3125,0.625,0.729166667,0.8125
0.1875,0.229166667,0.3125,0.625,0.729166667,0.8125,0.3125,0.354166667,0.4375,0.791666667,0.8125,1
0.3125,0.354166667,0.4375,0.791666667,0.8125,1,0,0.104166667,0.3125,0.604166667,0.625,0.895833333
0,0.104166667,0.3125,0.604166667,0.625,0.895833333,0.291666667,0.354166667,0.583333333,0.625,0.729166667,0.75
0.291666667,0.354166667,0.583333333,0.625,0.729166667,0.75,0.166666667,0.395833333,0.4375,0.604166667,0.6875,0.770833333
0.166666667,0.395833333,0.4375,0.604166667,0.6875,0.770833333,0.125,0.208333333,0.25,0.291666667,0.5,0.625
0.125,0.208333333,0.25,0.291666667,0.5,0.625,0.0625,0.333333333,0.6875,0.8125,0.854166667,0.9375
0.0625,0.333333333,0.6875,0.8125,0.854166667,0.9375,0.041666667,0.479166667,0.5,0.625,0.645833333,0.708333333
0.041666667,0.479166667,0.5,0.625,0.645833333,0.708333333,0.020833333,0.0625,0.1875,0.604166667,0.791666667,1
0.020833333,0.0625,0.1875,0.604166667,0.791666667,1,0.145833333,0.3125,0.4375,0.875,0.916666667,0.9375
0.145833333,0.3125,0.4375,0.875,0.916666667,0.9375,0.104166667,0.375,0.5625,0.645833333,0.708333333,0.958333333
0.104166667,0.375,0.5625,0.645833333,0.708333333,0.958333333,0.270833333,0.291666667,0.3125,0.5,0.541666667,0.583333333
0.270833333,0.291666667,0.3125,0.5,0.541666667,0.583333333,0,0.020833333,0.104166667,0.125,0.229166667,0.416666667
0,0.020833333,0.104166667,0.125,0.229166667,0.416666667,0.208333333,0.25,0.270833333,0.791666667,0.8125,0.895833333
